YEAR,DOY,RES,DM,LAI,LERG,NELLVG,RLEAF,SLA,TILTOT,FRTILG,CP
2002,1,0,0,0,0,0,0,0,0,0,0
2002,2,0,0,0,0,0,0,0,0,0,0
2002,3,0,0,0,0,0,0,0,0,0,0
2002,4,0,0,0,0,0,0,0,0,0,0
2002,5,0,0,0,0,0,0,0,0,0,0
2002,6,0,0,0,0,0,0,0,0,0,0
2002,7,0,0,0,0,0,0,0,0,0,0
2002,8,0,0,0,0,0,0,0,0,0,0
2002,9,0,0,0,0,0,0,0,0,0,0
2002,10,0,0,0,0,0,0,0,0,0,0
2002,11,0,0,0,0,0,0,0,0,0,0
2002,12,0,0,0,0,0,0,0,0,0,0
2002,13,0,0,0,0,0,0,0,0,0,0
2002,14,0,0,0,0,0,0,0,0,0,0
2002,15,0,0,0,0,0,0,0,0,0,0
2002,16,0,0,0,0,0,0,0,0,0,0
2002,17,0,0,0,0,0,0,0,0,0,0
2002,18,0,0,0,0,0,0,0,0,0,0
2002,19,0,0,0,0,0,0,0,0,0,0
2002,20,0,0,0,0,0,0,0,0,0,0
2002,21,0,0,0,0,0,0,0,0,0,0
2002,22,0,0,0,0,0,0,0,0,0,0
2002,23,0,0,0,0,0,0,0,0,0,0
2002,24,0,0,0,0,0,0,0,0,0,0
2002,25,0,0,0,0,0,0,0,0,0,0
2002,26,0,0,0,0,0,0,0,0,0,0
2002,27,0,0,0,0,0,0,0,0,0,0
2002,28,0,0,0,0,0,0,0,0,0,0
2002,29,0,0,0,0,0,0,0,0,0,0
2002,30,0,0,0,0,0,0,0,0,0,0
2002,31,0,0,0,0,0,0,0,0,0,0
2002,32,0,0,0,0,0,0,0,0,0,0
2002,33,0,0,0,0,0,0,0,0,0,0
2002,34,0,0,0,0,0,0,0,0,0,0
2002,35,0,0,0,0,0,0,0,0,0,0
2002,36,0,0,0,0,0,0,0,0,0,0
2002,37,0,0,0,0,0,0,0,0,0,0
2002,38,0,0,0,0,0,0,0,0,0,0
2002,39,0,0,0,0,0,0,0,0,0,0
2002,40,0,0,0,0,0,0,0,0,0,0
2002,41,0,0,0,0,0,0,0,0,0,0
2002,42,0,0,0,0,0,0,0,0,0,0
2002,43,0,0,0,0,0,0,0,0,0,0
2002,44,0,0,0,0,0,0,0,0,0,0
2002,45,0,0,0,0,0,0,0,0,0,0
2002,46,0,0,0,0,0,0,0,0,0,0
2002,47,0,0,0,0,0,0,0,0,0,0
2002,48,0,0,0,0,0,0,0,0,0,0
2002,49,0,0,0,0,0,0,0,0,0,0
2002,50,0,0,0,0,0,0,0,0,0,0
2002,51,0,0,0,0,0,0,0,0,0,0
2002,52,0,0,0,0,0,0,0,0,0,0
2002,53,0,0,0,0,0,0,0,0,0,0
2002,54,0,0,0,0,0,0,0,0,0,0
2002,55,0,0,0,0,0,0,0,0,0,0
2002,56,0,0,0,0,0,0,0,0,0,0
2002,57,0,0,0,0,0,0,0,0,0,0
2002,58,0,0,0,0,0,0,0,0,0,0
2002,59,0,0,0,0,0,0,0,0,0,0
2002,60,0,0,0,0,0,0,0,0,0,0
2002,61,0,0,0,0,0,0,0,0,0,0
2002,62,0,0,0,0,0,0,0,0,0,0
2002,63,0,0,0,0,0,0,0,0,0,0
2002,64,0,0,0,0,0,0,0,0,0,0
2002,65,0,0,0,0,0,0,0,0,0,0
2002,66,0,0,0,0,0,0,0,0,0,0
2002,67,0,0,0,0,0,0,0,0,0,0
2002,68,0,0,0,0,0,0,0,0,0,0
2002,69,0,0,0,0,0,0,0,0,0,0
2002,70,0,0,0,0,0,0,0,0,0,0
2002,71,0,0,0,0,0,0,0,0,0,0
2002,72,0,0,0,0,0,0,0,0,0,0
2002,73,0,0,0,0,0,0,0,0,0,0
2002,74,0,0,0,0,0,0,0,0,0,0
2002,75,0,0,0,0,0,0,0,0,0,0
2002,76,0,0,0,0,0,0,0,0,0,0
2002,77,0,0,0,0,0,0,0,0,0,0
2002,78,0,0,0,0,0,0,0,0,0,0
2002,79,0,0,0,0,0,0,0,0,0,0
2002,80,0,0,0,0,0,0,0,0,0,0
2002,81,0,0,0,0,0,0,0,0,0,0
2002,82,0,0,0,0,0,0,0,0,0,0
2002,83,0,0,0,0,0,0,0,0,0,0
2002,84,0,0,0,0,0,0,0,0,0,0
2002,85,0,0,0,0,0,0,0,0,0,0
2002,86,0,0,0,0,0,0,0,0,0,0
