year,doy,groundradiation,tmin,tmax,vp,windspeed,rain,RSEvap,RSTran,RSLAI,RSCut
2002,1,0.2,-0.2,6.4,0.92,7.3,12.6,0,0,0.1,0
2002,2,0.6,-0.6,2.4,0.6,1.3,0,0,0,0.1,0
2002,3,0.9,-0.5,1.7,0.54,1.3,0,0,0,0.1,0
2002,4,1.7,-0.1,3.5,0.61,1.1,0,0,0,0.1,0
2002,5,0.1,1.5,5.4,0.7,1.2,2.1,0,0,0.1,0
2002,6,0.5,-0.7,5.6,0.94,1.6,1.1,0,0,0.1,0
2002,7,0.2,-0.7,4.8,0.89,0.3,1,0,0,0.1,0
2002,8,0.3,4,5.4,0.67,0.5,1.8,0,0,0.1,0
2002,9,0.4,3.7,5.5,0.69,0.8,3,0,0,0.1,0
2002,10,0.2,2.9,4.6,0.68,1.1,0.4,0,0,0.1,0
2002,11,0.4,3.3,4.8,0.66,0.9,1,0,0,0.1,0
2002,12,0.2,3,6.3,0.74,1,1.4,0,0,0.1,0
2002,13,0.1,4.7,6,0.63,1.5,4.5,0,0,0.1,0
2002,14,0.4,5.4,6.5,0.65,1.4,5.9,0,0,0.1,0
2002,15,0.3,4.1,6.6,0.71,1.8,13.6,0,0,0.1,0
2002,16,0.7,3.4,6.3,0.73,2.7,5.2,0,0,0.1,0
2002,17,0.2,5.9,6.7,0.63,2.7,21.1,0,0,0.1,0
2002,18,1.8,2.2,6,0.76,1.6,2.6,0,0,0.1,0
2002,19,0.4,3.1,6.3,0.72,2.3,7.5,0,0,0.1,0
2002,20,0.2,4.3,6.5,0.67,2.4,22.5,0,0,0.1,0
2002,21,0.6,3.7,6.5,0.66,3.2,5.4,0,0,0.1,0
2002,22,0.4,5.5,7.5,0.68,4.2,29.2,0,0,0.1,0
2002,23,1.3,-0.4,6.6,0.81,2.9,4.3,0,0,0.1,0
2002,24,0.5,-1.7,2.9,0.72,2.7,6.3,0,0,0.1,0
2002,25,1.9,-3.6,0.1,0.66,3.1,3.1,0,0,0.1,0
2002,26,1.1,-2.3,1.5,0.63,2.7,5.4,0,0,0.1,0
2002,27,1.4,-0.2,2.4,0.68,0.6,3.7,0,0,0.1,0
2002,28,1.1,2.3,7.4,0.76,6.6,7.4,0,0,0.1,0
2002,29,1.7,-0.1,4.7,0.66,5.4,5.3,0,0,0.1,0
2002,30,0.7,-0.1,7.1,0.95,1.4,6.9,0,0,0.1,0
2002,31,1.9,4.3,6.3,0.67,1.6,0.1,0,0,0.1,0
2002,32,1.4,2.9,8,0.81,3.8,15,0,0,0.1,0
2002,33,0.8,6.8,8.4,0.64,4.3,0.5,0,0,0.1,0
2002,34,0.7,6.3,8.6,0.65,2.9,3.9,0,0,0.1,0
2002,35,2,2.4,7,0.77,2.8,6.4,0,0,0.1,0
2002,36,1.2,4.1,6.9,0.7,2.9,11.7,0,0,0.1,0
2002,37,0.7,2.5,5,0.69,0.8,15.8,0,0,0.1,0
2002,38,1.2,2.4,6,0.74,1.6,7.9,0,0,0.1,0
2002,39,1.9,4.5,6.9,0.69,3.6,1.7,0,0,0.1,0
2002,40,0.6,4.3,7.3,0.73,5.4,18.4,0,0,0.1,0
2002,41,1.8,1.1,5.3,0.79,2.8,6.8,0,0,0.1,0
2002,42,1.9,0.9,7.7,0.9,4.5,3.9,0,0,0.1,0
2002,43,4.6,1.9,5.5,0.7,2.8,0.2,0,0,0.1,0
2002,44,5.9,-0.9,4.6,0.7,1.3,0,0,0,0.1,0
2002,45,3.1,-2,4.2,0.67,1.2,0,0,0,0.1,0
2002,46,5.4,3.8,6.5,0.7,3.2,2.3,0,0,0.1,0
2002,47,1.3,2.6,6.3,0.77,2.1,0.1,0,0,0.1,0
2002,48,1.3,3.1,5.8,0.71,1.8,6.3,0,0,0.1,0
2002,49,3.9,-0.4,3.5,0.66,5.2,5.4,0,0,0.1,0
2002,50,3.8,-4.9,1.8,0.8,2.5,2.5,0,0,0.1,0
2002,51,5.4,-4.7,0.7,0.39,2.2,0,0,0,0.1,0
2002,52,3.9,-5.3,2.7,0.69,2.4,8.9,0,0,0.1,0
2002,53,2.5,-0.2,5,0.8,5.9,25,0,0,0.1,0
2002,54,5.8,-1.3,2.9,0.64,4.1,1.2,0,0,0.1,0
2002,55,5.6,-2.8,0.3,0.67,3.9,6.2,0,0,0.1,0
2002,56,4.3,-2.6,3.2,0.68,2.2,2,0,0,0.1,0
2002,57,5.4,-0.2,3.8,0.57,2.6,1.1,0,0,0.1,0
2002,58,6.4,0,4.7,0.78,1.5,6.7,0,0,0.1,0
2002,59,4.9,-1,2.5,0.66,2.2,1.9,0,0,0.1,0
2002,60,9.7,-3.8,3,0.67,1.4,0.5,0,0,0.1,0
2002,61,7.6,-3.2,2.5,0.66,4.4,2.6,0,0,0.1,0
